,human_baseline_summaries,original_model_summaries,instruct_model_summaries,peft_ia3_model_summaries,peft_lora_model_summaries
1251,Steven will go over the household budget while #Person1# will go to bed first.,The person is Steven.,The budget is overspent.,Steven is going to bed. Steven wants to finish the household budget. Steven asks him to close the door to the basement before he goes to bed.,Steven is going to bed. #Person1# asks Steven to finish the household budget. Steven agrees.
1252,#Person1# goes to sleep first while Steven plans to stay up to go over the household budget.,Steven is going to sleep.,The budget is overspent.,Steven is going to bed. Steven wants to finish the household budget. Steven asks him to close the door to the basement before he goes to bed.,Steven is going to bed. #Person1# asks Steven to finish the household budget. Steven agrees.
1253,Steven wants to stay up to go over the household budget when #Person1# is going to sleep.,I'm going to bed.,The budget is overspent.,Steven is going to bed. Steven wants to finish the household budget. Steven asks him to close the door to the basement before he goes to bed.,Steven is going to bed. #Person1# asks Steven to finish the household budget. Steven agrees.
1254,#Person1# will meet Jane next Monday afternoon around three to kick around some ideas.,We'll be in touch next week.,Let's meet next Monday afternoon.,Jane invites Jane to meet before next week's meeting. Jane wants to kick around some ideas with her. Jane agrees.,Jane invites #Person1# to meet before next week's meeting. They plan to meet next Monday afternoon around three.
1255,#Person1# makes an appointment with Jane on next Monday afternoon around three to kick around some ideas.,See if you can come over to the meeting.,Let's meet next Monday afternoon.,Jane invites Jane to meet before next week's meeting. Jane wants to kick around some ideas with her. Jane agrees.,Jane invites #Person1# to meet before next week's meeting. They plan to meet next Monday afternoon around three.
1256,#Person1# makes an appointment with Jane before their meeting.,"Jane, please come over to my office and I can get a table.",Let's meet next Monday afternoon.,Jane invites Jane to meet before next week's meeting. Jane wants to kick around some ideas with her. Jane agrees.,Jane invites #Person1# to meet before next week's meeting. They plan to meet next Monday afternoon around three.
1257,#Person2# is looking for a nice gift to give his girlfriend Jess for their fifth anniversary. #Person1# gives him many suggestions and he finally decides to ask Jess to marry him.,"#Person1#: Well, thank you for your help.","#Person1#: Good afternoon, sir. I'm looking for a gift for her. #Person2#: Oh, I'm sorry... I'm kind of nervous. #Person1#: Well, I would be happy to assist you in choosing the perfect gift for her. Is there anything particular that you have in mind? #Person2#: Well, I'm afraid I'm not really... I've never bought jewellery for anyone and I'm kind of nervous. #Person1#: Well, I would be happy to assist you in choosing the perfect gift for her. Is there anything particular that you have in mind? #Person2#: Well, I'm afraid I'm not really... I've never bought jewellery for anyone and I'm kind of nervous. #Person1#: Well, I","#Person2# wants to give her a beautiful gift for her. #Person1# suggests she get a necklace, a necklace, a necklace, a timepiece, and a timepiece. #Person2# suggests a necklace, a necklace, and a timepiece. #Person2# thinks it's a great time to propose.","#Person2# is looking for a nice gift to give his girlfriend. #Person1# recommends a bracelet, a necklace, a locket, a timepiece, and a ring. #Person2# is nervous about asking Jess to marry him. #Person1# suggests #Person2# look at engagement rings."
1258,"#Person2# wants to select a gift for his girlfriend and get some recommendations from #Person1#. After consideration and #Person1#'s encouragement, #Person2# decides to buy a proposal ring.",I'm here to help you.,"#Person1#: Good afternoon, sir. I'm looking for a gift for her. #Person2#: Oh, I'm sorry... I'm kind of nervous. #Person1#: Well, I would be happy to assist you in choosing the perfect gift for her. Is there anything particular that you have in mind? #Person2#: Well, I'm afraid I'm not really... I've never bought jewellery for anyone and I'm kind of nervous. #Person1#: Well, I would be happy to assist you in choosing the perfect gift for her. Is there anything particular that you have in mind? #Person2#: Well, I'm afraid I'm not really... I've never bought jewellery for anyone and I'm kind of nervous. #Person1#: Well, I","#Person2# wants to give her a beautiful gift for her. #Person1# suggests she get a necklace, a necklace, a necklace, a timepiece, and a timepiece. #Person2# suggests a necklace, a necklace, and a timepiece. #Person2# thinks it's a great time to propose.","#Person2# is looking for a nice gift to give his girlfriend. #Person1# recommends a bracelet, a necklace, a locket, a timepiece, and a ring. #Person2# is nervous about asking Jess to marry him. #Person1# suggests #Person2# look at engagement rings."
1259,#Person1# assists #Person2# in choosing a gift for Jess. #Person2# decides to buy a ring and propose on their fifth anniversary.,You're welcome.,"#Person1#: Good afternoon, sir. I'm looking for a gift for her. #Person2#: Oh, I'm sorry... I'm kind of nervous. #Person1#: Well, I would be happy to assist you in choosing the perfect gift for her. Is there anything particular that you have in mind? #Person2#: Well, I'm afraid I'm not really... I've never bought jewellery for anyone and I'm kind of nervous. #Person1#: Well, I would be happy to assist you in choosing the perfect gift for her. Is there anything particular that you have in mind? #Person2#: Well, I'm afraid I'm not really... I've never bought jewellery for anyone and I'm kind of nervous. #Person1#: Well, I","#Person2# wants to give her a beautiful gift for her. #Person1# suggests she get a necklace, a necklace, a necklace, a timepiece, and a timepiece. #Person2# suggests a necklace, a necklace, and a timepiece. #Person2# thinks it's a great time to propose.","#Person2# is looking for a nice gift to give his girlfriend. #Person1# recommends a bracelet, a necklace, a locket, a timepiece, and a ring. #Person2# is nervous about asking Jess to marry him. #Person1# suggests #Person2# look at engagement rings."
1260,"#Person1# is looking for a new car. After #Person2# introduces the information and price of the Ford Focus, #Person1# decides to test it.",#Person1: Thanks for the information.,You can trade in your old Ford Pinto for a new one.,#Person1# wants to trade in a new car. #Person2# tells #Person1# the Ford Focus is a very fuel efficient vehicle and #Person1# can take it out of this lot today with 0 % down payment and no interest for the first year.,#Person1# wants to trade in the old Ford Pinto and #Person2# recommends the Ford Focus. #Person1# likes it and wants to test drive it. #Person2# offers a price tag of affordable.
1261,#Person2# introduces the Ford Focus to #Person1# who wants to buy a new car. #Person2# describes every detail of the car and #Person1# decides to have a test drive.,#Person1#: I am looking for a new car. #Person2#: I am looking for a new car. #Person1#: I am looking for a new car. #Person2#: I am looking for a new car. #Person1#: I am looking for a new car. #Person2#: I am looking for a new car. #Person1#: I am looking for a new car. #Person2#: I am looking for a new car. #Person1#: I am looking for a new car.,You can trade in your old Ford Pinto for a new one.,#Person1# wants to trade in a new car. #Person2# tells #Person1# the Ford Focus is a very fuel efficient vehicle and #Person1# can take it out of this lot today with 0 % down payment and no interest for the first year.,#Person1# wants to trade in the old Ford Pinto and #Person2# recommends the Ford Focus. #Person1# likes it and wants to test drive it. #Person2# offers a price tag of affordable.
1262,#Person2# gives #Person1# a full introduction of the Ford Focus #Person1# intends to test drive it.,The car is on sale at the moment.,You can trade in your old Ford Pinto for a new one.,#Person1# wants to trade in a new car. #Person2# tells #Person1# the Ford Focus is a very fuel efficient vehicle and #Person1# can take it out of this lot today with 0 % down payment and no interest for the first year.,#Person1# wants to trade in the old Ford Pinto and #Person2# recommends the Ford Focus. #Person1# likes it and wants to test drive it. #Person2# offers a price tag of affordable.
1263,"Ballam asks for a position with 4,000 yuan starting salary from #Person1#, given that 3,000 yuan cannot support his family.",Apple is hiring a computer engineer.,The position of computer engineer is open.,"#Person2# hires Ballam to be a computer engineer. Ballam tells Ballam the starting salary is 3, 000 yuan a month and the lowest salary is 4, 000 yuan a month. Ballam will come in at eight o'clock sharp Monday.","Ballam calls Apple Corporation to offer him the position of computer engineer. Ballam tells #Person1# the starting salary is 3, 000 yuan a month and the lowest salary is 4, 000 yuan a month."
1264,"Ballam is hired by Apple Corporation but he thinks the starting salary is low. After discussion, #Person1# agrees to raise the salary.",The position is for a computer engineer.,The position of computer engineer is open.,"#Person2# hires Ballam to be a computer engineer. Ballam tells Ballam the starting salary is 3, 000 yuan a month and the lowest salary is 4, 000 yuan a month. Ballam will come in at eight o'clock sharp Monday.","Ballam calls Apple Corporation to offer him the position of computer engineer. Ballam tells #Person1# the starting salary is 3, 000 yuan a month and the lowest salary is 4, 000 yuan a month."
1265,"#Person1# calls to inform Ballam that Ballam was going to be hired, and agrees to raise the starting salary after discussion.",Ballam is the new manager at Apple Corporation.,The position of computer engineer is open.,"#Person2# hires Ballam to be a computer engineer. Ballam tells Ballam the starting salary is 3, 000 yuan a month and the lowest salary is 4, 000 yuan a month. Ballam will come in at eight o'clock sharp Monday.","Ballam calls Apple Corporation to offer him the position of computer engineer. Ballam tells #Person1# the starting salary is 3, 000 yuan a month and the lowest salary is 4, 000 yuan a month."
1266,"#Person1# is introducing the benefits of Network Settlement Service to #Person2#, and confirms when to get the paperwork done.",#Person1#: I'm going to get the documents ready for the meeting tomorrow at 10 am.,We are going to sign up for the Network Settlement Service tomorrow at 10 am.,#Person2# wants to know about benefits and so forth. #Person1# tells #Person2# about benefits and so forth. #Person2#'s company has been having serious problems in the area. #Person2# hopes signing up for Network Settlement Service will solve all of that.,#Person1# tells #Person2# about benefits and so forth. #Person2#'s having serious problems in the area and #Person1# hopes signing up for the Network Settlement Service will solve all of that.
1267,#Person1# introduces the benefits #Person2# can get from the company and makes an appointment to sign all the papers.,#Person2#: I am very pleased to hear that you are signing up for the Network Settlement Service.,We are going to sign up for the Network Settlement Service tomorrow at 10 am.,#Person2# wants to know about benefits and so forth. #Person1# tells #Person2# about benefits and so forth. #Person2#'s company has been having serious problems in the area. #Person2# hopes signing up for Network Settlement Service will solve all of that.,#Person1# tells #Person2# about benefits and so forth. #Person2#'s having serious problems in the area and #Person1# hopes signing up for the Network Settlement Service will solve all of that.
1268,#Person1# tells #Person2# about the benefits of Network Settlement Service and confirms the time to get the paperwork done.,#Person1#: I'm a little bit confused.,We are going to sign up for the Network Settlement Service tomorrow at 10 am.,#Person2# wants to know about benefits and so forth. #Person1# tells #Person2# about benefits and so forth. #Person2#'s company has been having serious problems in the area. #Person2# hopes signing up for Network Settlement Service will solve all of that.,#Person1# tells #Person2# about benefits and so forth. #Person2#'s having serious problems in the area and #Person1# hopes signing up for the Network Settlement Service will solve all of that.
1269,#Person1# is hungry again and #Person2# asks #Person1# to make something to eat.,You're going to make a peanut butter and jelly sandwich.,You're going to get a snack.,#Person1# is hungry again and wants to get a snack. #Person2# tells #Person1# to make a peanut butter and jelly sandwich.,#Person1# is hungry. #Person2# suggests making a peanut butter and jelly sandwich.
1270,#Person1# is hungry but dont't know what to eat. #Person2# suggests a peanut butter and jelly sandwich.,I'm hungry again.,You're going to get a snack.,#Person1# is hungry again and wants to get a snack. #Person2# tells #Person1# to make a peanut butter and jelly sandwich.,#Person1# is hungry. #Person2# suggests making a peanut butter and jelly sandwich.
1271,#Person1# might make a peanut butter and jelly sandwich to eat.,I'm hungry again.,You're going to get a snack.,#Person1# is hungry again and wants to get a snack. #Person2# tells #Person1# to make a peanut butter and jelly sandwich.,#Person1# is hungry. #Person2# suggests making a peanut butter and jelly sandwich.
1272,#Person2# draws #Person1#'s blood to check white blood cell count.,Ask the person to take a seat and roll up your sleeve.,Have your blood drawn.,#Person1#'s blood test is being checked by the doctor. #Person2# tells #Person1# the blood test is only a little pin stick and #Person2# will put a tourniquet on #Person2#'s arm to puff up the veins up.,#Person1#'s blood is drawn by the doctor. #Person2# tells #Person1# the test is only a little pin stick and will put a tourniquet on #Person1#'s arm to puff the veins up.
1273,#Person2# helps #Person1# draw blood for testing white blood cell count.,The doctor will insert a tourniquet into your arm.,Have your blood drawn.,#Person1#'s blood test is being checked by the doctor. #Person2# tells #Person1# the blood test is only a little pin stick and #Person2# will put a tourniquet on #Person2#'s arm to puff up the veins up.,#Person1#'s blood is drawn by the doctor. #Person2# tells #Person1# the test is only a little pin stick and will put a tourniquet on #Person1#'s arm to puff the veins up.
1274,The doctor has #Person1#'s blood drawn by #Person2# to check white blood cell count.,The doctor will inject the test with a tourniquet.,Have your blood drawn.,#Person1#'s blood test is being checked by the doctor. #Person2# tells #Person1# the blood test is only a little pin stick and #Person2# will put a tourniquet on #Person2#'s arm to puff up the veins up.,#Person1#'s blood is drawn by the doctor. #Person2# tells #Person1# the test is only a little pin stick and will put a tourniquet on #Person1#'s arm to puff the veins up.
1275,Steven calls Mr. Sellers and asks him what he should do to deal with a power failure.,Find the fuse box.,Find the circuit box.,Steven tells Steven that Steven's tenant has suffered a power failure and will unscrew the burnt fuses and replace them with the good ones. Steven will call Mr. Sellers again if that doesn't work.,Steven tells Mr. Sellers he has suffered a power failure and he needs to replace the fuses with the good ones.
1276,Mr. Sellers instructs Steven to solve the power failure by replacing bad fuses.,The tenant is a tenant.,Find the circuit box.,Steven tells Steven that Steven's tenant has suffered a power failure and will unscrew the burnt fuses and replace them with the good ones. Steven will call Mr. Sellers again if that doesn't work.,Steven tells Mr. Sellers he has suffered a power failure and he needs to replace the fuses with the good ones.
1277,Steven tries to do the repairment under Mr. Seller's instruction to solve power failure.,Find the circuit box and check if there are any fuses blown out.,Find the circuit box.,Steven tells Steven that Steven's tenant has suffered a power failure and will unscrew the burnt fuses and replace them with the good ones. Steven will call Mr. Sellers again if that doesn't work.,Steven tells Mr. Sellers he has suffered a power failure and he needs to replace the fuses with the good ones.
1278,Paula is asking #Person2# to come over and talk with Ms. Connors about the rent.,The landlord threatened to evict them for not paying the full rent.,"Paula, I'm having a small problem.",Paula is having a small problem and asks #Person1# to help her with the dishwasher. Paula tells #Person1# that Ms. Connors is threatening to evict them for not paying the full rent. Paula agrees to come with her when they talk to Ms. Connors tomorrow night at eight.,Paula is having a small problem with Ms. Connors. Ms. Connors threatens to evict them for not paying the full rent. Paula invites her to come with her tomorrow night.
1279,"Paula has an economic problem with her landlord, Ms. Connors. #Person2# agrees to help when Paula talks to Ms. Connors.",Paula will be available to help.,"Paula, I'm having a small problem.",Paula is having a small problem and asks #Person1# to help her with the dishwasher. Paula tells #Person1# that Ms. Connors is threatening to evict them for not paying the full rent. Paula agrees to come with her when they talk to Ms. Connors tomorrow night at eight.,Paula is having a small problem with Ms. Connors. Ms. Connors threatens to evict them for not paying the full rent. Paula invites her to come with her tomorrow night.
1280,"Paula turns to #Person2# for help to straighten out things between her and the landlord, Ms. Connors.",##: ##: ##: ##: ##: ##: ##: ###: ###: ##: ##: ####: ##: ##: ###: ###: ##: ##: ##: ##: ###: ##: ###: ###: ##: ###: ##: ##: ##: ##,"Paula, I'm having a small problem.",Paula is having a small problem and asks #Person1# to help her with the dishwasher. Paula tells #Person1# that Ms. Connors is threatening to evict them for not paying the full rent. Paula agrees to come with her when they talk to Ms. Connors tomorrow night at eight.,Paula is having a small problem with Ms. Connors. Ms. Connors threatens to evict them for not paying the full rent. Paula invites her to come with her tomorrow night.
1281,"#Person1# and #Person2# think they need a handyman to fix the air conditioning, toilet, electrical wiring and gutters.",They are calling the office to fix their AC.,The air conditioning is not working. The bathroom toilet is clogged. The gutters are clogged.,Dan and Frank are trying to fix the air conditioning problem. Dan thinks the handyman should fix the bathroom toilet that keeps clogging up. Frank tells #Person1# the gutters outside were clogged and the parking lot was flooded.,#Person1# and #Person2# are calling a handyman to fix the air conditioning and the bathroom toilet. #Person2# thinks the office is falling apart because the gutters outside were clogged.
1282,#Person1# wants a handyman to fix the air conditioner and it reminds #Person1# and #Person2# to fix other things as well.,The office is flooded.,The air conditioning is not working. The bathroom toilet is clogged. The gutters are clogged.,Dan and Frank are trying to fix the air conditioning problem. Dan thinks the handyman should fix the bathroom toilet that keeps clogging up. Frank tells #Person1# the gutters outside were clogged and the parking lot was flooded.,#Person1# and #Person2# are calling a handyman to fix the air conditioning and the bathroom toilet. #Person2# thinks the office is falling apart because the gutters outside were clogged.
1283,#Person1# and #Person2# think they need a handyman to fix all malfunctions in their office.,They are trying to fix the office.,The air conditioning is not working. The bathroom toilet is clogged. The gutters are clogged.,Dan and Frank are trying to fix the air conditioning problem. Dan thinks the handyman should fix the bathroom toilet that keeps clogging up. Frank tells #Person1# the gutters outside were clogged and the parking lot was flooded.,#Person1# and #Person2# are calling a handyman to fix the air conditioning and the bathroom toilet. #Person2# thinks the office is falling apart because the gutters outside were clogged.
1284,#Person1# and #Person2# are looking for work and will think about the electrician apprentice program.,The electrician apprentice program is open.,I'm looking for a job.,#Person1# got laid off and is looking for work. #Person2# tells #Person1# #Person1# will take about anything that will pay the mortgage and #Person1# will take about anything that will pay the mortgage. #Person1# hasn't heard back from the electrician apprentice program.,#Person1# got laid off and is looking for work. #Person2# and #Person1# are going to check out the electrician apprentice program.
1285,#Person1# and #Person2# both get laid off and they want to find a job.,I'm looking for a job.,I'm looking for a job.,#Person1# got laid off and is looking for work. #Person2# tells #Person1# #Person1# will take about anything that will pay the mortgage and #Person1# will take about anything that will pay the mortgage. #Person1# hasn't heard back from the electrician apprentice program.,#Person1# got laid off and is looking for work. #Person2# and #Person1# are going to check out the electrician apprentice program.
1286,#Person1# and #Person2# talk about their interviews after a lay-off and think about the electrician apprentice program.,"I'm a little laid off, but I'm looking for a job.",I'm looking for a job.,#Person1# got laid off and is looking for work. #Person2# tells #Person1# #Person1# will take about anything that will pay the mortgage and #Person1# will take about anything that will pay the mortgage. #Person1# hasn't heard back from the electrician apprentice program.,#Person1# got laid off and is looking for work. #Person2# and #Person1# are going to check out the electrician apprentice program.
1287,#Person2# describes the relationship with their boss and the strengths of their boss to #Person1#.,"#Person2#: We have a fairly good working relationship, but there was also a rough spot.","We have a good working relationship, but there was a rough spot.",#Person2# describes their relationship with their boss. #Person2# describes their relationship with their boss as a rough spot and tells #Person1# his strengths.,#Person2# tells #Person1# #Person2#'s relationship with their boss was a rough spot. #Person2# thinks his strengths are amazing.
1288,"#Person2# tells the strength of their boss to #Person1#, and describes the relationship with their boss.","We have a fairly good working relationship, but there was a rough spot.","We have a good working relationship, but there was a rough spot.",#Person2# describes their relationship with their boss. #Person2# describes their relationship with their boss as a rough spot and tells #Person1# his strengths.,#Person2# tells #Person1# #Person2#'s relationship with their boss was a rough spot. #Person2# thinks his strengths are amazing.
1289,#Person2# describes to #Person1# about the relationship with the boss and what their boss strengths lie on.,#Person1: We have a good working relationship.,"We have a good working relationship, but there was a rough spot.",#Person2# describes their relationship with their boss. #Person2# describes their relationship with their boss as a rough spot and tells #Person1# his strengths.,#Person2# tells #Person1# #Person2#'s relationship with their boss was a rough spot. #Person2# thinks his strengths are amazing.
1290,#Person1# is interviewing Mr. Tang for the tour guide's job.,Please bring any documents with you.,"Mr. Tang, please bring your passport and a copy of your Tour Guide Certificate.","Mr. Tang brings a copy of the Tour Guide Certificate of his and Mr. Tang's Tour Guide Certificate to Mr. Tang. Mr. Tang is bilingual, English and Russian.",Mr. Tang brings a copy of the Tour Guide Certificate of his to #Person1#. Mr. Tang is on holidays this week.
1291,"#Person1# interviews Mr. Tang about his certification as a tour guide,","Mr. Tang, please bring any paper or certificate with you.","Mr. Tang, please bring your passport and a copy of your Tour Guide Certificate.","Mr. Tang brings a copy of the Tour Guide Certificate of his and Mr. Tang's Tour Guide Certificate to Mr. Tang. Mr. Tang is bilingual, English and Russian.",Mr. Tang brings a copy of the Tour Guide Certificate of his to #Person1#. Mr. Tang is on holidays this week.
1292,#Person1# interviews Mr.Tang about the related certification of being a tour guide.,You are welcome.,"Mr. Tang, please bring your passport and a copy of your Tour Guide Certificate.","Mr. Tang brings a copy of the Tour Guide Certificate of his and Mr. Tang's Tour Guide Certificate to Mr. Tang. Mr. Tang is bilingual, English and Russian.",Mr. Tang brings a copy of the Tour Guide Certificate of his to #Person1#. Mr. Tang is on holidays this week.
1293,#Person2# is bargaining with #Person1# over the price of a pure gold watch.,"#Person1#: I would like to look at some gold ones, please.",Look at the gold ones.,#Person2# wants to look at some watch. #Person1# shows #Person2# the gold ones and #Person2#'s price. #Person2#'ll take it.,#Person2# wants to look at some watch. #Person1# shows #Person2# the gold ones and offers a discount. #Person2# will take it.
1294,#Person2# wants to buy a watch but thinks the price is steep so #Person1# bargains with #Person1#.,Look at the watch.,Look at the gold ones.,#Person2# wants to look at some watch. #Person1# shows #Person2# the gold ones and #Person2#'s price. #Person2#'ll take it.,#Person2# wants to look at some watch. #Person1# shows #Person2# the gold ones and offers a discount. #Person2# will take it.
1295,#Person2# bargains with #Person1# on a gold watch.,The price of the gold watch is a little more than the price of the gold one.,Look at the gold ones.,#Person2# wants to look at some watch. #Person1# shows #Person2# the gold ones and #Person2#'s price. #Person2#'ll take it.,#Person2# wants to look at some watch. #Person1# shows #Person2# the gold ones and offers a discount. #Person2# will take it.
1296,"Tom is asking Sara to take care of his son, since his daughter has a fever and they are taking her to the hospital.",I'm sorry to bother you at supper time.,I'm sorry to hear about Maria.,Tom asks Sara to take care of Maria's fever and asks Tom to take care of Ken. Tom agrees.,Tom's little girl Maria has a high fever and they're taking her to hospital. Sara's son Ken hasn't finished his dinner yet. Tom'll bring Ken to Sara's house.
1297,Tom asks Sara to help to take care of his son when he takes his daughter to the hospital.,The person who is speaking is Tom.,I'm sorry to hear about Maria.,Tom asks Sara to take care of Maria's fever and asks Tom to take care of Ken. Tom agrees.,Tom's little girl Maria has a high fever and they're taking her to hospital. Sara's son Ken hasn't finished his dinner yet. Tom'll bring Ken to Sara's house.
1298,"Tom calls Sara for her help to take care of his son Ken, because he is taking his daughter to the hospital.",I'm sorry to hear that.,I'm sorry to hear about Maria.,Tom asks Sara to take care of Maria's fever and asks Tom to take care of Ken. Tom agrees.,Tom's little girl Maria has a high fever and they're taking her to hospital. Sara's son Ken hasn't finished his dinner yet. Tom'll bring Ken to Sara's house.
1299,Amy is talking about her first job experience and later job with #Person1#.,"During your career, you have to be a hard worker.","During your first year at the college, you worked as a secretary to the General Manager.",Amy's first job was as a secretary to the General Manager. Amy was responsible for all personnel matters and liked the people she worked with. Amy left because she wanted to apply for a position in the Sales Department.,Amy tells #Person1# about her first job as a secretary to the General Manager and then as the Personnel Manager. Amy left the job because she wanted to apply for a position in the Sales Department.
1300,Amy tells #Person1# about her first job experience and her current job.,I worked as a secretary to the General Manager in 1998.,"During your first year at the college, you worked as a secretary to the General Manager.",Amy's first job was as a secretary to the General Manager. Amy was responsible for all personnel matters and liked the people she worked with. Amy left because she wanted to apply for a position in the Sales Department.,Amy tells #Person1# about her first job as a secretary to the General Manager and then as the Personnel Manager. Amy left the job because she wanted to apply for a position in the Sales Department.
1301,Amy shares her former work experience and her current job with #Person1#.,Then she was promoted to the General Manager.,"During your first year at the college, you worked as a secretary to the General Manager.",Amy's first job was as a secretary to the General Manager. Amy was responsible for all personnel matters and liked the people she worked with. Amy left because she wanted to apply for a position in the Sales Department.,Amy tells #Person1# about her first job as a secretary to the General Manager and then as the Personnel Manager. Amy left the job because she wanted to apply for a position in the Sales Department.
1302,"Andrew is on the diet according to a junk mail. His elder sister thinks he's scammed and hopes he could listen to her. She suggests he do exercises, eat smaller portions, eat well-balanced breakfast and follow up with smaller meals throughout the day, never eat late at night, throw away ice-cream, cut out the fast food, eat a lot of fresh fruits and vegetables, cut way back on sugar and drink water instead of sugary drinks. Andrew feels this is going to be tough.","You're going to lose weight, but you're going to need to learn how to eat right.","Andrew, you're a fat guy.",Andrew tells #Person1# he's on the Wafu Diet and he's on the Wafu Diet. Andrew tells #Person1# he's on the Wafu Diet and eats a lot of food. Andrew also has to eat a lot of fresh fruits and vegetables and eats a lot of sugar. Andrew also has to eat a lot of fresh fruits and vegetables. Andrew also has to eat a lot of fresh fruits and vegetables. Andrew also has to eat a lot of sugary drinks.,Andrew tells #Person1# he has put on a ton of weight since he saw his sister at Christmas time. Andrew tells #Person1# he is on the Wafu Diet and he has to learn how to eat right. Andrew also tells #Person1# he goes to McDonalds every day and he has to cut out fast food. Andrew also tells #Person1# he goes to McDonalds every day and he drinks water.
1303,"#Person1# is surprised to see Andrew put on so much weight but Andrew tells #Person1# that to lose weight, he signs up for a Wafu Diet online for $490. #Person1# thinks he's getting scammed and suggests that he should take more exercise, eat smaller portions, eat a well-balanced breakfast, cut off fast food and sugar and eat fresh fruits and vegetables",The Wafu Diet is a diet that helps people lose weight. It's a diet that helps people eat a healthy diet.,"Andrew, you're a fat guy.",Andrew tells #Person1# he's on the Wafu Diet and he's on the Wafu Diet. Andrew tells #Person1# he's on the Wafu Diet and eats a lot of food. Andrew also has to eat a lot of fresh fruits and vegetables and eats a lot of sugar. Andrew also has to eat a lot of fresh fruits and vegetables. Andrew also has to eat a lot of fresh fruits and vegetables. Andrew also has to eat a lot of sugary drinks.,Andrew tells #Person1# he has put on a ton of weight since he saw his sister at Christmas time. Andrew tells #Person1# he is on the Wafu Diet and he has to learn how to eat right. Andrew also tells #Person1# he goes to McDonalds every day and he has to cut out fast food. Andrew also tells #Person1# he goes to McDonalds every day and he drinks water.
1304,Andrew's elder sister is surprised by Andrew's putting on so much weight and figures out Andrew has probably got scammed by a junk mail. She offers Andrew systematic suggestions on living healthy and losing weight.,You're going to lose weight.,"Andrew, you're a fat guy.",Andrew tells #Person1# he's on the Wafu Diet and he's on the Wafu Diet. Andrew tells #Person1# he's on the Wafu Diet and eats a lot of food. Andrew also has to eat a lot of fresh fruits and vegetables and eats a lot of sugar. Andrew also has to eat a lot of fresh fruits and vegetables. Andrew also has to eat a lot of fresh fruits and vegetables. Andrew also has to eat a lot of sugary drinks.,Andrew tells #Person1# he has put on a ton of weight since he saw his sister at Christmas time. Andrew tells #Person1# he is on the Wafu Diet and he has to learn how to eat right. Andrew also tells #Person1# he goes to McDonalds every day and he has to cut out fast food. Andrew also tells #Person1# he goes to McDonalds every day and he drinks water.
1305,Mr. Sonders interviews Mary for college admission. Mary makes an impression on them.,Greg Sonders from Brown College is speaking with Mary.,Greg Sonders from Brown College will be speaking to Mary.,Greg Sonders speaks to Mary and asks her to talk to Mr. Sonders about her impressive grade point average and test scores. Mary tells him she plays basketball and plays volleyball.,Greg Sonders from Brown College asks Mary to tell him about her college sports. Mary tells Greg that she plays basketball and volleyball.
1306,Greg Sonders from Brown College calls the applicant Mary to ask whether she is interested in college sports and will make a further decision later.,Recruit Mary Sonders from Brown College.,Greg Sonders from Brown College will be speaking to Mary.,Greg Sonders speaks to Mary and asks her to talk to Mr. Sonders about her impressive grade point average and test scores. Mary tells him she plays basketball and plays volleyball.,Greg Sonders from Brown College asks Mary to tell him about her college sports. Mary tells Greg that she plays basketball and volleyball.
1307,Greg Sonders calls Mary to ask whether Mary is interested in sports and tells Mary to wait for final admission decision later.,"Meet Mary, and ask for a callback.",Greg Sonders from Brown College will be speaking to Mary.,Greg Sonders speaks to Mary and asks her to talk to Mr. Sonders about her impressive grade point average and test scores. Mary tells him she plays basketball and plays volleyball.,Greg Sonders from Brown College asks Mary to tell him about her college sports. Mary tells Greg that she plays basketball and volleyball.
1308,#Person1# takes a taxi to the railway station in the rush hour.,I'm a taxi driver. I'm going to the railway station.,Go to the railway station.,#Person1# wants to go to the railway station. #Person2# asks #Person1# to drive slowly and carefully to the railway station.,#Person1# wants to go to the railway station. #Person2# tells #Person1# the traffic is heavy and asks #Person1# to drive slowly and carefully.
1309,#Person1# stops a taxi to the railway station and asks the driver to be slow and careful.,The bus is about 20 minutes late.,Go to the railway station.,#Person1# wants to go to the railway station. #Person2# asks #Person1# to drive slowly and carefully to the railway station.,#Person1# wants to go to the railway station. #Person2# tells #Person1# the traffic is heavy and asks #Person1# to drive slowly and carefully.
1310,#Person1# tells #Person2# to drive slowly and carefully to the railway station in the rush hour.,#Pretty much. #Pretty much.,Go to the railway station.,#Person1# wants to go to the railway station. #Person2# asks #Person1# to drive slowly and carefully to the railway station.,#Person1# wants to go to the railway station. #Person2# tells #Person1# the traffic is heavy and asks #Person1# to drive slowly and carefully.
1311,#Person1# is asking Brian about his life in the U.S.,"Brian, how are you?",I'm a native speaker.,Brian speaks English well and speaks well. Brian has been in the U.S. for 3 weeks and has never been to California before. Brian went to Las Vegas once on a business trip.,Brian tells #Person1# he speaks English well and has been in the U.S. for 3 weeks. Brian has never been to California before.
1312,#Person1# asks Brian about his experience of living in the US.,Is there anything else you would like to share?,I'm a native speaker.,Brian speaks English well and speaks well. Brian has been in the U.S. for 3 weeks and has never been to California before. Brian went to Las Vegas once on a business trip.,Brian tells #Person1# he speaks English well and has been in the U.S. for 3 weeks. Brian has never been to California before.
